Boat Name,Boat Type,Sail #,Rating,DW Rating,I,J,P,E,Max Hdsail,Rig Type,ISP,JSP,LOA,LWL,Beam,Draft,Displacement,Ballast,SLE,SLU,ASMG,ASF,DLR,SAD
Javelin,J 105 ODR w/ 5'BS,394,78.0,595.0,40.6,13.5,41.5,14.5,100.0,FS,42.1,19.07,34.5,29.5,11.0,6.5,8697.0,3400.0,38.6,49.0,26.4,25.5,151.23607713405116,21.715698334991586
Zephyr,J 109 ODR,176,78.0,599.0,46.5,13.3,43.25,15.5,105.0,FS,49.0,18.8,35.25,30.5,11.5,7.0,10900.0,3900.0,45.63,56.33,27.2,27.75,171.50585920659188,20.93738912615829
Kestrel,J 105 ODR w/ 5'BS,312,78.0,592.0,40.6,13.5,41.5,14.5,100.0,FS,42.1,19.07,34.5,29.5,11.0,6.5,7750.0,3400.0,39.8,49.5,24.6,26.2,134.76826466470004,23.451412239284473
La Viajera,J 109 ODR,56480,78.0,598.0,46.5,13.3,43.25,15.5,105.0,FS,49.6,18.8,35.25,30.5,11.5,7.0,10900.0,3900.0,45.63,56.33,27.2,27.75,171.50585920659188,20.93738912615829
NeNe,J 105 ODR w/ 5'BS,3,78.0,591.0,40.6,13.5,41.5,14.5,100.0,FS,42.1,19.07,34.5,29.5,11.0,6.5,7750.0,3400.0,39.8,49.5,24.6,26.2,134.76826466470004,23.451412239284473
Wahoo,J 105 ODR w/ 5'BS MOD,280,78.0,589.0,40.6,13.5,41.5,14.6,155.0,FS,42.1,19.25,34.5,29.5,11.0,6.5,7750.0,3400.0,40.7,49.5,25.8,28.5,134.76826466470004,23.53605228867616
Yellowfin,J 105 ODR w/ 5'BS,357,78.0,587.0,40.6,13.5,41.5,14.5,100.0,FS,42.1,19.07,34.5,29.5,11.0,6.5,7750.0,3400.0,38.33,48.92,25.67,25.5,134.76826466470004,23.451412239284473
Chao Pescao,J 105 ODR w/ 5'BS,382,78.0,573.0,40.6,13.5,41.5,14.5,100.0,FS,42.1,19.07,34.5,29.5,11.0,6.5,7750.0,3400.0,39.8,49.5,24.6,26.0,134.76826466470004,23.451412239284473
Second Wind,Sabre 426 WK,51986,78.0,596.0,56.5,16.6,49.25,17.5,155.0,MS,56.6,16.6,42.5,36.0,13.5,5.16,24595.0,8850.0,54.7,57.9,29.4,29.6,235.33759247011562,16.990862617656898
Kincsem,J 105 ODR w/ 5'BS,125,78.0,595.0,40.6,13.5,41.5,14.5,100.0,FS,42.1,19.07,34.5,29.5,11.0,6.5,7750.0,3400.0,39.8,49.5,22.3,26.2,134.76826466470004,23.451412239284473
Reverie,J 109 ODR,52423,78.0,603.0,46.5,13.3,43.25,15.5,105.0,FS,49.6,18.8,32.25,30.5,11.5,7.0,10900.0,3900.0,43.3,56.43,28.08,28.05,171.50585920659188,20.93738912615829
Twelve Bar Blues,J 105 ODR w/ 5'BS,87,78.0,592.0,40.6,13.5,41.5,14.5,100.0,FS,42.1,19.07,34.5,29.5,11.0,6.5,7750.0,3400.0,39.01,48.69,25.79,27.89,134.76826466470004,23.451412239284473
Advantage 3,J 105 ODR w/ 5'BS,84,78.0,592.0,40.6,13.5,41.5,14.5,100.0,FS,42.1,19.07,34.5,29.5,11.0,6.5,7750.0,3400.0,38.6,49.0,26.4,25.5,134.76826466470004,23.451412239284473
Energy,J 105 ODR w/ 5'BS,46060,78.0,592.0,40.6,13.5,41.5,14.5,100.0,FS,42.1,19.07,34.5,29.5,11.0,6.5,7750.0,3400.0,39.8,49.5,24.6,26.0,134.76826466470004,23.451412239284473
Tivoli,Beneteau Oceanis 50,50045,78.0,,60.82,18.43,55.77,18.73,110.0,FS,,,49.5,43.67,14.75,5.75,26988.0,9477.0,,,,,144.66820982523217,19.21570437611848
Wet Corvette,Antrim 27 AL,20,81.0,570.0,28.69,8.17,33.75,14.0,100.0,FS,37.25,15.0,27.73,23.75,9.25,6.0,2900.0,1050.0,38.0,44.2,20.1,25.1,96.64049319975841,27.773390805787674
Split Water,J 88,78,81.0,575.0,38.67,11.28,36.82,12.0,104.0,FS,46.0,18.05,29.19,26.84,9.5,6.5,4990.0,1840.0,40.84,47.83,27.32,29.0,115.21393051384044,24.019949889897294
Mintaka 4,Farr 38,18441,81.0,589.0,43.67,13.67,44.9,17.9,125.0,FS,46.2,,38.25,31.17,12.0,6.33,11850.0,4100.0,,,,,174.68673399547393,21.520903183753568
Speedwell,J 88,20,81.0,575.0,38.67,11.28,36.82,12.0,105.0,FS,46.0,18.05,29.19,26.84,9.5,6.5,4990.0,1840.0,40.84,47.83,27.32,29.0,115.21393051384044,24.019949889897294
Avion,Bianca 414,30345,81.0,591.0,50.14,15.61,51.17,17.3,150.0,MS,50.14,,41.27,32.81,9.58,8.5,19953.0,8624.0,47.41,53.41,26.9,31.69,252.19791573143928,18.103538029059845
Southern Star,Beneteau Farr First 36.7,56445,81.0,614.0,46.4,13.1,45.4,15.6,155.0,FS,46.4,13.1,36.0,30.3,11.4,7.3,12495.0,4034.0,,,,,200.5212284781071,19.518716249034483
Lonestar                                       40              81          607,Beneteau First 10R ODR MOD,,,,43.2,12.07,42.25,14.73,155.0,FS,46.41,16.5,32.75,28.7,11.0,6.55,9715.0,3528.0,45.8,52.9,26.4,25.5,183.46325581067623,20.06342479297451
Bonaparte,Beneteau Farr First 36.7,38054,81.0,614.0,46.4,13.1,45.4,15.6,155.0,FS,46.4,13.1,36.0,30.3,11.4,7.2,12495.0,4034.0,,,,,200.5212284781071,19.518716249034483
Free Energy 5,Beneteau First 35 CE,19,81.0,624.0,47.25,13.12,45.93,14.75,105.0,FS,51.48,16.12,35.31,30.61,11.49,7.22,13360.0,3682.0,41.1,46.7,20.5,23.3,207.95456146341854,18.40131452998528
Windsome,J 100 ODR,140,81.0,584.0,38.5,11.5,38.0,13.5,84.0,FS,43.0,15.9,32.8,29.0,9.25,5.75,6500.0,2450.0,42.82,49.41,26.9,26.81,118.97928222910801,21.919121539916635
Outcast,Farr 38,4823,81.0,597.0,43.67,13.67,44.9,17.9,150.0,FS,46.2,,38.25,31.17,12.0,6.4,10600.0,4100.0,,,,,156.25986332084588,23.18203842147325
White Shadow,J 88,23,81.0,575.0,38.67,11.28,36.82,12.0,104.0,FS,46.0,18.05,29.19,26.84,9.5,6.5,4990.0,1840.0,40.84,47.83,27.32,29.0,115.21393051384044,24.019949889897294
Inconceivable,J 88,9,81.0,563.0,38.67,11.28,36.82,12.0,104.0,FS,46.0,18.05,29.19,26.84,9.5,6.5,4990.0,1840.0,40.84,47.83,27.32,29.0,115.21393051384044,24.019949889897294
Ravenette,J 88,80,81.0,575.0,38.67,11.28,36.82,12.0,104.0,FS,46.0,18.05,29.19,26.84,9.5,6.5,4990.0,1840.0,40.84,47.83,27.32,29.0,115.21393051384044,24.019949889897294
Circe,Freedom 40/40,20,81.0,604.0,47.74,12.89,51.28,18.85,100.0,FS,48.24,6.9,40.4,35.1,,,23213.0,9700.0,,,,,239.64143066260735,15.522255749965776
Butcher,J 88,32,81.0,575.0,38.67,11.28,36.82,12.0,104.0,FS,46.0,18.05,29.19,26.84,9.5,6.5,4990.0,1840.0,40.84,47.83,27.32,29.0,115.21393051384044,24.019949889897294
Eight Ball,J 100 MOD,8,81.0,589.0,38.5,11.5,38.0,13.5,95.0,FS,43.0,15.9,32.0,29.0,9.25,5.75,7250.0,2450.0,,,,,132.70766094785122,20.37937699308172
Barcanova,Jeanneau Sun Fast 3200,3200,81.0,599.0,41.92,12.63,38.67,13.8,110.0,FS,43.77,13.61,33.1,28.0,11.5,6.2,7496.0,2866.0,39.55,44.95,24.52,24.45,152.44299250312366,22.169354048904687
Mistral,Beneteau Farr First 36.7,28394,81.0,614.0,46.4,13.1,45.4,15.6,155.0,FS,46.4,13.1,35.0,30.3,11.6,7.2,12495.0,4034.0,,,,,200.5212284781071,19.518716249034483
Rum Tum Tugger                        39              84          607,Beneteau First 10R ODR MOD,,,,43.2,12.07,42.25,14.73,105.0,FS,46.41,16.5,32.75,28.7,11.0,6.55,9715.0,3528.0,45.8,52.59,26.4,25.5,183.46325581067623,20.06342479297451
Daredevil,Melges 24,659,84.0,,27.85,7.98,28.75,12.42,100.0,FS,31.85,12.0,24.0,22.0,8.17,5.25,1750.0,650.0,32.9,38.0,19.23,20.67,73.37058602554471,31.878853299835665
A Demain,Melges 24,419,84.0,570.0,27.85,7.95,28.75,12.416,110.0,FS,31.85,12.0,24.0,22.0,8.166,5.25,1650.0,625.0,32.9,38.0,19.23,20.67,69.1779811097993,33.1004682132991
Mulan,Beneteau First 10R ODR,9484,84.0,615.0,43.2,12.07,42.25,14.73,100.0,FS,46.41,16.5,32.75,28.7,11.0,6.55,9715.0,3258.0,45.8,52.9,26.4,25.5,183.46325581067623,20.06342479297451
Committed,Melges 24,658,84.0,568.0,27.85,7.98,28.75,12.416,110.0,FS,31.85,12.0,24.0,22.0,8.166,5.25,1750.0,625.0,32.9,38.0,19.23,20.67,73.37058602554471,31.872525051568775
H Pod,J 100 ODR,165,84.0,586.0,38.5,11.5,38.0,13.5,100.0,FS,43.0,15.9,32.8,29.0,9.21,5.75,7013.0,2450.0,39.12,49.13,26.08,25.02,128.36949327272836,20.836198833904685
Mo 'Pinchin,Beneteau Oceanis 40.1,119,84.0,,49.67,15.67,48.17,16.67,105.0,MS,,5.5,42.25,38.42,,,18290.0,4930.0,,,,,143.9771609493927,18.189302189486092
High Climber,Dufour A9000,,84.0,621.0,55.69,15.9,,15.0,170.0,CTR,,,39.16,31.5,,6.75,19841.0,9800.0,,,,,283.38957990183553,
Ilaria,Alerion Express 41,3,84.0,,44.28,13.51,48.59,18.39,83.0,FS,,6.17,40.5,30.5,,,16000.0,6000.0,,,,,251.75171993628166,18.7608518697901
Thirsty,Beneteau First 30 R,60477,84.0,586.0,41.5,13.71,40.5,14.4,107.0,MS,43.96,15.5,31.8,28.0,10.6,6.4,9072.0,2850.0,49.14,44.19,22.64,20.34,184.4934402332361,21.15528091307594
Hattie,J 100 ODR,14,84.0,598.0,38.5,11.5,38.0,13.5,100.0,FS,43.0,12.0,32.8,29.0,9.3,5.8,6500.0,2500.0,42.0,47.1,23.4,22.3,118.97928222910801,21.919121539916635
First Wave,Beneteau First 27,165,87.0,602.0,31.0,12.2,31.25,11.0,107.0,FS,35.0,17.4,26.2,26.2,8.33,5.58,3902.0,1345.0,27.5,34.0,13.5,18.0,96.85797225925715,23.270759720072785
Akyaa,Hobie 33 ODR,163,87.0,543.0,33.6,12.4,35.3,12.5,105.0,MS,36.5,16.2,37.0,30.83,8.0,5.5,4260.0,1800.0,,,,,64.89944854538037,26.079991762231202
First on the Beat,Beneteau First 27,27,87.0,590.0,31.16,12.25,33.16,11.91,95.0,FS,35.8,17.5,26.25,25.9,8.3,5.7,3902.0,1345.0,35.2,43.0,21.95,23.4,100.2628290108032,25.033774008244006
Reverie,Tartan 41 TM DK,12012,87.0,592.0,53.5,17.33,47.75,13.0,149.0,MS,53.5,19.33,40.63,32.67,12.25,7.36,19000.0,9900.0,51.9,56.2,36.3,36.0,243.25298551282862,17.358320316920675
Story Maker,Tartan 101,7090,87.0,587.0,47.6,12.5,45.24,14.83,105.0,FS,50.12,16.5,33.0,29.1,10.9,6.5,8500.0,3250.0,46.6,55.3,29.1,28.8,153.9897948578823,24.275723354885177
Wolfpack,Donovan 30,3001,87.0,575.0,38.5,11.6,34.0,10.66,150.0,MS,,11.6,30.0,25.0,10.75,5.67,3300.0,1330.0,37.0,41.25,19.4,20.65,94.28571428571429,29.161727225427047
Aloha,Hobie 33 ODR,13,90.0,556.0,33.8,12.4,35.0,12.5,100.0,FS,36.5,,33.0,30.5,8.0,5.5,4694.0,1900.0,38.4,40.49,21.92,23.5,73.85766083630664,24.409620027112773
Water Witch,P-Class Cutter,3,90.0,582.0,65.59,23.7,59.41,26.0,120.0,MS,,23.7,56.0,39.0,11.5,8.0,48000.0,15000.0,,,,,361.2429647932606,18.730344164455595
Yucca,Custom DitTMar 50,8526,90.0,612.0,41.36,14.06,50.04,20.12,150.0,MS,54.25,,49.09,32.0,7.94,7.03,23750.0,11000.0,,,,,323.56807163783475,15.348437531558622
Tuquila,Hobie 33 ODR,87112,90.0,554.0,33.8,12.4,35.0,12.4,125.0,FS,36.8,,33.0,30.5,8.0,5.5,4000.0,1800.0,,,,,62.937929984070415,27.047563942085826
Bloom County,Custom Mancebo 31,18151,90.0,585.0,33.0,10.13,33.5,11.33,155.0,FS,37.67,13.0,30.96,27.5,9.83,6.92,4470.0,1700.0,,42.0,,,95.95363314371575,21.015554380652016
Drop Beer,Beneteau Class 10,18277,90.0,588.0,37.8,12.6,39.7,13.9,150.0,FS,38.6,,34.2,29.6,9.9,6.8,7000.0,2200.0,,,,,120.49662655716341,22.44146670539721
